"competition_1_6_12_M5P_M-5_ES_block_crossover_ML.log","competition_1_6_12_M5P_M-5_ES_block_mutate_ML.log","competition_1_6_12_MLP_H-20_ES_block_crossover_ML.log","competition_1_6_12_MLP_H-20_ES_block_mutate_ML.log","competition_3_6_12_M5P_M-5_ES_block_crossover_ML.log","competition_3_6_12_M5P_M-5_ES_block_mutate_ML.log","competition_3_6_12_MLP_H-20_ES_block_crossover_ML.log","competition_3_6_12_MLP_H-20_ES_block_mutate_ML.log","ks1_6_12_M5P_M-5_ES_block_crossover_ML.log","ks1_6_12_M5P_M-5_ES_block_mutate_ML.log","ks1_6_12_MLP_H-20_ES_block_crossover_ML.log","ks1_6_12_MLP_H-20_ES_block_mutate_ML.log","ks2_6_12_M5P_M-5_ES_block_crossover_ML.log","ks2_6_12_M5P_M-5_ES_block_mutate_ML.log","ks2_6_12_MLP_H-20_ES_block_crossover_ML.log","ks2_6_12_MLP_H-20_ES_block_mutate_ML.log"
"9.384839658756524E-4","9.399386775682912E-4","9.399863484911349E-4","9.397275522806713E-4","0.001036755987383052","0.0010369263086425586","0.001036634224457848","0.0010355248063001945","0.0013963600247397564","0.0013930351824436166","0.0013962172908807374","0.0013892344256927732","0.0018091151730726042","0.0018115025446608722","0.001811678451191693","0.0018046697145594859"
"9.394644633891559E-4","9.398066538800742E-4","9.401111199707474E-4","9.391239027319144E-4","0.0010362926990247273","0.0010369388568866864","0.0010362543600570086","0.001036265650118975","0.0013900137016643905","0.0013949869357989296","0.0013906287035451606","0.0013954195778761883","0.0018122608857543121","0.0018063776663866985","0.0018063729241335432","0.0018075317550213885"
"9.39730062280254E-4","9.394591832807351E-4","9.391113205004845E-4","9.394935063356676E-4","0.0010367001040559754","0.001036197449653004","0.0010368799760671552","0.0010375667741928172","0.0013922891120831896","0.0013950864669863363","0.0013936153030944128","0.0013954010939191649","0.001811516222571721","0.001807730404296489","0.0018101429051101503","0.0018086302033738333"
"9.400314661637068E-4","9.399010205201153E-4","9.388390421952029E-4","9.39710468543278E-4","0.0010370455631778185","0.0010363310536376528","0.0010352845735941115","0.0010370479247562765","0.001392128600156984","0.0013941043061640513","0.0013934469658296589","0.0013953233268529448","0.001807749522824087","0.00181215631258331","0.0018045425147355137","0.0018123877991158522"
"9.399571803895782E-4","9.401357888859294E-4","9.397001858026085E-4","9.404187635772086E-4","0.001035673091285946","0.0010365617450211534","0.0010374417615859387","0.0010374290413511069","0.0013903024055851748","0.0013954525690237347","0.0013949861216142995","0.0013939238411634243","0.0018072472503625557","0.0018126653653370173","0.0018136615672515776","0.0018070140124934603"
"9.397920289210284E-4","9.391809368181952E-4","9.399284100986393E-4","9.403995695634924E-4","0.0010366672780244394","0.0010374711595355721","0.0010359199318213906","0.001036428071152329","0.001392074208407826","0.0013946034923344346","0.0013882630732294388","0.0013932662701563936","0.0018128460630048551","0.0018073353475458048","0.0018138262435384175","0.0018067288228694983"
"9.39323057612599E-4","9.395686574491319E-4","9.399823817270016E-4","9.404134794544356E-4","0.0010381286932527596","0.0010370435497325224","0.0010358952394453316","0.0010368108077350416","0.0013950088582517653","0.0013943433903717303","0.0013955626659975682","0.0013930692289077496","0.0018117941064425592","0.0018131001339466064","0.0018097779646141414","0.0018138247289962856"
"9.395120306375794E-4","9.390541750757119E-4","9.401239491194023E-4","9.391791624002999E-4","0.0010374647788361515","0.0010373138913051002","0.0010366513656571695","0.0010366428559515572","0.0013922689420481382","0.0013913359027167714","0.0013930397152168664","0.0013929920232995917","0.0018156565400803898","0.0018086194442937928","0.0018056990642998719","0.0018091436668627942"
"9.391776041800771E-4","9.403089022801021E-4","9.396686663794267E-4","9.397000248373281E-4","0.001036004814925712","0.0010364018875506612","0.0010365410213518736","0.0010359577191589018","0.001395918240168677","0.0013926251623772078","0.0013937397118369051","0.0013918981896578857","0.0018134284098198128","0.0018114523246730238","0.001811608967705049","0.001811427154502044"
"9.393379866697783E-4","9.395551622213266E-4","9.399837552768978E-4","9.392610074898029E-4","0.0010358713944203129","0.0010370862584727367","0.0010366769680029188","0.0010371446532336669","0.0013950280419878767","0.001392939766578752","0.0013954331212940388","0.0013947649237071506","0.001810817805411838","0.0018138287809401326","0.0018074491635162479","0.0018078853669034698"
