"competition_1_6_12_M5P_M-5_ES_block_crossover_ML.log","competition_1_6_12_M5P_M-5_ES_block_mutate_ML.log","competition_1_6_12_MLP_H-20_ES_block_crossover_ML.log","competition_1_6_12_MLP_H-20_ES_block_mutate_ML.log","competition_3_6_12_M5P_M-5_ES_block_crossover_ML.log","competition_3_6_12_M5P_M-5_ES_block_mutate_ML.log","competition_3_6_12_MLP_H-20_ES_block_crossover_ML.log","competition_3_6_12_MLP_H-20_ES_block_mutate_ML.log","ks1_6_12_M5P_M-5_ES_block_crossover_ML.log","ks1_6_12_M5P_M-5_ES_block_mutate_ML.log","ks1_6_12_MLP_H-20_ES_block_crossover_ML.log","ks1_6_12_MLP_H-20_ES_block_mutate_ML.log","ks2_6_12_M5P_M-5_ES_block_crossover_ML.log","ks2_6_12_M5P_M-5_ES_block_mutate_ML.log","ks2_6_12_MLP_H-20_ES_block_crossover_ML.log","ks2_6_12_MLP_H-20_ES_block_mutate_ML.log"
"9.399708260935841E-4","9.393961890289543E-4","9.373444042608201E-4","9.385948210396243E-4","0.0010423659278604577","0.0010419292511720094","0.0010369651718210565","0.0010369992848547208","0.0013981938902311688","0.001403653541809571","0.0013951834230372388","0.0013929763017328728","0.0018101726479865922","0.0018082551808868714","0.0018096651302386712","0.0017973726697333254"
"9.396386832000219E-4","9.401570501733013E-4","9.39510530471944E-4","9.39430075604607E-4","0.0010422092253228336","0.0010416582243523655","0.0010369829754224695","0.001037053780929461","0.0014028634002257474","0.0014057665191860918","0.0013884926903175953","0.0013889201223059554","0.0018088222221448707","0.0018131876998609903","0.0018091977031185565","0.0018093167622309323"
"9.397003969861968E-4","9.392679434721599E-4","9.388244191715748E-4","9.37819353356764E-4","0.001045047239761853","0.0010426775542654928","0.001036989303511637","0.0010372321574363946","0.0014054685941431015","0.0014001509934911155","0.0013937739669142558","0.0013868103208693723","0.0018064070014679663","0.0018081560748200122","0.001808210091054273","0.0018123500462791475"
"9.388825034006333E-4","9.399444546459994E-4","9.379527901317181E-4","9.394977768178479E-4","0.0010416896705019245","0.001043593997580805","0.0010366976121162462","0.0010367303005259624","0.001400931356584346","0.0014034726696549686","0.001390953260746575","0.0013914516744719567","0.001806668002193164","0.0018107098781829198","0.0018115115717640472","0.0018090886936987086"
"9.390966518097719E-4","9.406496741517928E-4","9.380122634852726E-4","9.396775970785013E-4","0.0010406500303153424","0.0010406857675326437","0.0010367303859261396","0.0010368419273384154","0.0014016643715416075","0.0014237448800051124","0.0013927825371106706","0.001394504999816095","0.0018073733479714099","0.0018108539535933738","0.0018063725830646657","0.0018011366349041042"
"9.389462550358157E-4","9.402390682442059E-4","9.38696867538127E-4","9.372091331601327E-4","0.0010415132449107076","0.0010420633084256728","0.0010373703494887217","0.001036439176529189","0.0014010833942828304","0.0014058383859235943","0.001393424062511715","0.0013938758121958621","0.0018107267891679006","0.001808113027584527","0.0018097467144766","0.001796647615430169"
"9.391955920934956E-4","9.390389328198174E-4","9.385873760895286E-4","9.396812008636692E-4","0.0010413997969960322","0.0010423685292287543","0.00103712168359188","0.0010366924430419814","0.0014046242050470197","0.001405961478256074","0.0013942663946801455","0.0013926948958805315","0.0018062550298808414","0.0018100754002806792","0.0018079747363601148","0.001809008794879712"
"9.401021928727095E-4","9.396625835981342E-4","9.405806146836552E-4","9.39451853180433E-4","0.0010422649678095402","0.0010427416090822831","0.0010367913634105187","0.0010369575483485766","0.0014053562435758012","0.0013947525922523587","0.0013735986405122897","0.0013905578237496693","0.001809335285574397","0.001806545317498996","0.001811990425788632","0.0018071829017772922"
"9.398848764268736E-4","9.39625732354041E-4","9.387622820976176E-4","9.36184899981016E-4","0.001043453827023622","0.0010403242561138914","0.0010372028602711055","0.0010367757866474752","0.0014020775720413657","0.0014016069957257398","0.0013939725257313168","0.0013917141541215342","0.0018128482449930772","0.0018091111283219511","0.0018129426399103013","0.0018106187551218313"
"9.408627284186367E-4","9.390109667822442E-4","9.391659461012194E-4","9.360191612418266E-4","0.0010441897619377855","0.0010409600726314222","0.001034713791300344","0.0010368728858902352","0.001404489525747838","0.001403167320579451","0.0013920337101313777","0.0013834144425157351","0.0018122686229292675","0.0018077749466614604","0.0018117417705300377","0.0018087800670682792"
