"competition_1_(6+12)_ES_block_crossover.log","competition_1_(6+12)_ES_block_mutate.log","competition_3_(6+12)_ES_block_crossover.log","competition_3_(6+12)_ES_block_mutate.log","ks1_(6+12)_ES_block_crossover.log","ks1_(6+12)_ES_block_mutate.log","ks2_(6+12)_ES_block_crossover.log","ks2_(6+12)_ES_block_mutate.log"
"9.345754998003159E-4","9.363018864381541E-4","0.0010306865685246963","0.0010307780497184193","0.0013884854013135146","0.0013896100401994806","0.0017992107513500814","0.0018006191727596421"
"9.366834134762673E-4","9.368343700684211E-4","0.0010305095556408712","0.0010307079702436832","0.0013898395437515498","0.0013883299801096453","0.001802036372004077","0.0018055709179890455"
"9.350191431360091E-4","9.362677093704671E-4","0.001030051796203971","0.0010307077792754177","0.0013895610587489672","0.0013879840751018114","0.0018071445718267926","0.0018057891371569769"
"9.358558692903611E-4","9.361884379878863E-4","0.0010306016745162264","0.001032217386495286","0.0013907222382697907","0.0013896481625566663","0.0018013905144289833","0.001804915410480844"
"9.35435506589788E-4","9.359504411756562E-4","0.0010308796345915587","0.0010302955363565881","0.0013879230071636968","0.0013888486584079005","0.0018054216619554132","0.00180552754431385"
"9.357133556777996E-4","9.367714383186302E-4","0.0010299385963825824","0.001030269918603814","0.0013905736951725848","0.001387425159920544","0.0018033848746558847","0.0018010969576634718"
"9.351290882071558E-4","9.375631626602589E-4","0.0010319468295611923","0.0010306593325132979","0.0013864620959480884","0.0013871384646257237","0.00180279978271564","0.0018037744003943671"
"9.3631940043115E-4","9.352613347411703E-4","0.0010307543925294664","0.0010314169403527658","0.0013867337160168953","0.0013893026565669816","0.0018044464682926517","0.0018030509361816496"
"9.358049572533072E-4","9.348984938859352E-4","0.0010302861482687766","0.0010301899173767557","0.001389353358577526","0.0013892696711194728","0.0018024119309566972","0.001804063557163792"
"9.364328413201293E-4","9.364919180771616E-4","0.0010308910042620164","0.0010305161344792502","0.001390031646770648","0.001387182725119374","0.001804598101910766","0.00179850086695811"
"9.360785049043574E-4","9.372470828790367E-4","0.0010313960849344277","0.001031058783875495","0.0013875830368436715","0.0013884853286553203","0.0018023939460159789","0.0018033689291652034"
"9.366184264779313E-4","9.35875319236598E-4","0.0010303427692314074","0.0010306390402796818","0.0013924533371284609","0.0013878605364061026","0.0018028995896498807","0.0018036427272034672"
"9.366422837160941E-4","9.360790617488895E-4","0.0010296474170523634","0.0010304155700310408","0.0013878227120330522","0.0013887639468973443","0.0017987519474335668","0.0018012563510661447"
"9.340581853045056E-4","9.348988482714125E-4","0.0010309311394898885","0.0010307209366013518","0.0013875536419040734","0.0013910862618087038","0.001803749015573744","0.0018006894292394763"
"9.367222696267602E-4","9.349952063513606E-4","0.0010307641437559648","0.00103055639210319","0.0013882803534346292","0.0013892786813096269","0.001808859020976687","0.0018028509190670203"
"9.365471079569749E-4","9.36138201749506E-4","0.0010294791983218306","0.0010313905756355823","0.001388783431777152","0.0013888962072283544","0.001802810879837493","0.0018058970832045102"
"9.344018265621257E-4","9.362024324967157E-4","0.0010309497394480004","0.0010316838372619597","0.0013901680698246597","0.0013890720834529003","0.0017991731466878657","0.0018082673935674457"
"9.361650440228458E-4","9.362391374481678E-4","0.0010318487233720065","0.0010299175450976291","0.0013895247502186151","0.0013872803117008625","0.0018068026398278337","0.0018031268002235848"
"9.365223675925516E-4","9.365171177535463E-4","0.00103138375889742","0.0010303069064809185","0.0013897399087829329","0.0013882904273349891","0.0018040629775197819","0.0018049516859871876"
"9.343880885202402E-4","9.360586059430844E-4","0.0010304795064476464","0.001030288226416013","0.001389084226019402","0.0013872639267316275","0.0018007359165071578","0.0018011514537294663"
"9.354641434139351E-4","9.360439422809233E-4","0.0010299637082474703","0.0010298222077496822","0.0013878080744791359","0.00138887037513897","0.0018062958627447592","0.0018030420724391768"
"9.356938504894851E-4","9.362996237079601E-4","0.001030934056023451","0.0010309507190985423","0.0013856823970515393","0.001388745516327752","0.0017996059481558643","0.0018000367527465934"
"9.368967634715231E-4","9.362478908223891E-4","0.0010312269091437812","0.0010307126580532415","0.00139038787808335","0.0013890718989752501","0.0018004725345182426","0.0018026517814393214"
"9.355719850819692E-4","9.35346678910465E-4","0.001030685573405409","0.0010304740672614993","0.0013886983636980253","0.00138918803423853","0.0018054197401329978","0.0018035645681386556"
"9.353978113081939E-4","9.362078983815142E-4","0.0010299756620644666","0.0010309807683817232","0.0013888084287421083","0.001387812067500424","0.0018041614077604537","0.0017994819100102832"
"9.358186894556871E-4","9.359347642803103E-4","0.0010307535445569951","0.001029863708378701","0.0013913051493975208","0.001392309504902625","0.0018057687733875885","0.0018014065094737169"
"9.346722917931904E-4","9.342614044333995E-4","0.0010298533114486037","0.00103100204475813","0.001389175003426306","0.0013871721020899549","0.0018003852650873122","0.0018022737057320833"
"9.362634387573082E-4","9.362039397909083E-4","0.0010304812401732881","0.0010310207791309474","0.001392557124614074","0.001387417955182785","0.0017994435734102444","0.0018075762090325313"
"9.356433501464826E-4","9.360804398975157E-4","0.0010309296419429691","0.0010313139194432137","0.0013902632526634157","0.0013883249081968506","0.001798030038677117","0.0018032392800887169"
"9.341485553449025E-4","9.36349651299809E-4","0.0010308031037080904","0.001029943402036053","0.0013875709293007118","0.0013897928427780756","0.0018040254389913217","0.001797624639639981"
