"competition_1_(1+1)_ES_block_crossover.log","competition_1_(1+1)_ES_block_mutate.log","competition_1_(5+10)_ES_block_crossover.log","competition_1_(5+10)_ES_block_mutate.log","competition_3_(1+1)_ES_block_crossover.log","competition_3_(1+1)_ES_block_mutate.log","competition_3_(5+10)_ES_block_crossover.log","competition_3_(5+10)_ES_block_mutate.log","ks1_(1+1)_ES_block_crossover.log","ks1_(1+1)_ES_block_mutate.log","ks1_(5+10)_ES_block_crossover.log","ks1_(5+10)_ES_block_mutate.log","ks2_(1+1)_ES_block_crossover.log","ks2_(1+1)_ES_block_mutate.log","ks2_(5+10)_ES_block_crossover.log","ks2_(5+10)_ES_block_mutate.log"
"9.431541970931794E-4","9.436334681692288E-4","9.366037622243648E-4","9.369795062415005E-4","0.0010422688010088632","0.001042196873655307","0.0010340565118527917","0.0010331578179438613","0.0013974228820377123","0.0014004353893663673","0.001392561310083929","0.0013932487437672099","0.0018164240055877927","0.0018182499176796789","0.0018102284216514226","0.0018115633729654415"
"9.438130569349719E-4","9.440141043278165E-4","9.381111767626676E-4","9.37149570310525E-4","0.0010432614294993564","0.001042451376095235","0.0010343360475988301","0.001034064970834898","0.0013975827488536532","0.0014003803023506648","0.0013951542906452466","0.0013898136567007799","0.0018216742688162398","0.0018195028150224638","0.0018101942741358596","0.0018105571327926976"
"9.437326365094266E-4","9.432622673170132E-4","9.371851709250664E-4","9.373010572502369E-4","0.0010428263727580414","0.0010414491876181808","0.0010342941774411775","0.0010335493383504292","0.0014026208696047726","0.0013976771722047459","0.0013900210578966972","0.00138963597859253","0.0018263001610253136","0.001822074453299271","0.0018041839427173814","0.0018067932593301798"
"9.433430640464689E-4","9.442806690309613E-4","9.369455310422148E-4","9.358241872083028E-4","0.0010422493113457973","0.0010428246287164918","0.0010334447828415434","0.0010325264911549385","0.00140186884060772","0.0014026349427223104","0.0013912278328771612","0.0013925236285130841","0.0018242118166415294","0.0018267291607079318","0.001804782412153821","0.0018053716264185599"
"9.423973965768326E-4","9.437684503997431E-4","9.363690004178193E-4","9.382659404580359E-4","0.0010422903141762857","0.0010415723736970355","0.0010326235991552435","0.0010330134079388738","0.0014010996403200644","0.0013988311184405925","0.0013923615805417476","0.001391579837308231","0.0018219955577410468","0.001822056325081622","0.0018059307270614183","0.0018111904414373039"
"9.437961149273865E-4","9.43288207625745E-4","9.370779465897176E-4","9.374833978468937E-4","0.0010426246697101643","0.0010424591732634738","0.0010340417246349062","0.00103329130749529","0.0013971130563244806","0.0014032649958802905","0.0013935148491771858","0.001392248024002408","0.0018235342388190049","0.0018234710641276736","0.001804061840817231","0.0018027291513127532"
"9.428905741867935E-4","9.436031897443025E-4","9.370498344108302E-4","9.37096463826653E-4","0.001041907008951202","0.0010422243412479713","0.001033711058269052","0.0010324285799992996","0.0014009006958973788","0.0014009059911973363","0.0013889800067852693","0.0013904104763387238","0.0018245686132862136","0.0018236938673446396","0.0018066361828914398","0.0018088448683799636"
"9.440286704161287E-4","9.421264322103388E-4","9.379821278023517E-4","9.377471754261116E-4","0.001043420807182117","0.0010411410999499058","0.0010326728237303674","0.0010322918850078303","0.0013999920959733407","0.0014019970192704965","0.0013876083457780015","0.0013903895805967904","0.00182017669339862","0.0018219466037487856","0.001809340731541632","0.0018089137095545556"
"9.430505872623055E-4","9.442673358298401E-4","9.371468293729011E-4","9.375775471769795E-4","0.0010413295483841646","0.0010418621726411012","0.0010331187920680617","0.0010335667029922576","0.0014013680257629851","0.0014000928115844122","0.001392778085475498","0.0013928568272174203","0.0018236326216462609","0.00182075972037611","0.0018062876870716406","0.001807914551408467"
"9.435108097016895E-4","9.438513982343938E-4","9.368363147195097E-4","9.373810534333402E-4","0.0010426429986209649","0.0010416351497079149","0.0010341119143210385","0.0010329594717083067","0.001397470542867574","0.0013983481988492066","0.0013911310095593233","0.001392987060545781","0.0018202985134988183","0.0018207822801646128","0.0018058371299357104","0.00180951065814932"
"9.440717115827975E-4","9.438184707732226E-4","9.363307803544056E-4","9.371704489962124E-4","0.001041371937753735","0.0010420470216184834","0.0010333708963820947","0.0010332888966087441","0.001399277990323702","0.001399900991134647","0.0013905013779190066","0.0013938993382524025","0.0018230809750630777","0.001823087116299914","0.0018056793198641414","0.0018071712912348925"
"9.429062988117765E-4","9.442841838176632E-4","9.377300336625738E-4","9.374516164112627E-4","0.001043077944975939","0.0010423271356401723","0.0010344279077005854","0.0010333789043941535","0.0014013146253132101","0.0014004516513371978","0.0013911047173296727","0.001393466746495395","0.0018233865860044023","0.0018201806943263783","0.0018077463927108585","0.0018061567314912477"
"9.444678189947794E-4","9.436632019220215E-4","9.37692245046119E-4","9.373859507479981E-4","0.001041573744217407","0.0010434157272737482","0.0010335324679207484","0.0010328316025299605","0.0013999766262428816","0.0013999732697667746","0.0013899670531042992","0.00139025272700281","0.0018233038836888622","0.001825344450883564","0.0018062961073197967","0.0018085162698148523"
"9.423786781435901E-4","9.442555277435625E-4","9.374027170180087E-4","9.380538702715382E-4","0.0010397578621768994","0.0010429357307567178","0.0010335561026707418","0.0010330586380304472","0.0014005610476640474","0.00140111746686837","0.0013930626417772607","0.001390017026770188","0.0018145584444338872","0.00181988171632825","0.0018089247225726096","0.001807046155561701"
