,comp1_5_20_ES_block_crossover,comp1_5_20_ES_block_mutate,comp1_5_10_ES_block_crossover,comp1_5_10_ES_block_mutate,comp1_1_1_ES_block_crossover,comp1_1_1_ES_block_mutate,comp3_5_20_ES_block_crossover,comp3_5_20_ES_block_mutate,comp3_5_10_ES_block_crossover,comp3_5_10_ES_block_mutate,comp3_1_1_ES_block_crossover,comp3_1_1_ES_block_mutate,ks1_5_20_ES_block_crossover,ks1_5_20_ES_block_mutate,ks1_5_10_ES_block_crossover,ks1_5_210_ES_block_mutate,ks1_1_1_ES_block_crossover,ks1_1_1_ES_block_mutate,ks2_5_20_ES_block_crossover,ks2_5_20_ES_block_mutate,ks2_5_10_ES_block_crossover,ks2_5_10_ES_block_mutate,ks2_1_1_ES_block_crossover,ks2_1_1_ES_block_mutate
1,9.421113130616268E-4,9.421379085310902E-4,9.372309324732866E-4,9.341560715477059E-4,9.425470983832644E-4,9.426828782056649E-4,0.0010394847323445572,0.0010404443658279029,0.001030655078949139,0.0010309300005075582,0.0010416871230821585,0.001042261726594953,0.0013922889671666733,0.0013935693320275392,0.0013996636054551257,0.0013992095276721987,0.0013996636054551257,0.0013992095276721987,0.001818884312201998,0.001817199356870631,0.001797593044399668,0.0017962593204513071,0.0018196261227470599,0.0018231732229179044
2,9.44945536198577E-4,9.439242058603376E-4,9.364301460213666E-4,9.331026015270514E-4,9.427307725942128E-4,9.421921701497039E-4,0.0010415223720100233,0.001041649153759015,0.0010304967251620826,0.0010310013618195523,0.0010428296811135344,0.0010409077995402883,0.0014030985610753513,0.0014022342804760044,0.0014016541077168758,0.0013971111620010163,0.0014016541077168758,0.0013971111620010163,0.001825257354830026,0.0018244411240394818,0.0017963469819362737,0.0017968542336837569,0.0018233850912875785,0.0018179432779933395
3,9.435603753340773E-4,9.44254584677025E-4,9.364113356368463E-4,9.352357104395114E-4,9.425776087081596E-4,9.424117098089486E-4,0.0010419678910711615,0.0010419502194185656,0.0010311956001383712,0.001030575573991382,0.001042536816714735,0.001041090904541889,0.0014039614373419194,0.0014025479274569223,0.0013992364999750513,0.0014010728615827936,0.0013992364999750513,0.0014010728615827936,0.001824375486734552,0.001827928802847047,0.0018017067391933698,0.0018010023274044988,0.001822952249539126,0.001817951163935641
4,9.438365605442814E-4,9.448642677927616E-4,9.369120413410094E-4,9.351255123569346E-4,9.423648805436692E-4,9.432371513879022E-4,0.0010427280697155126,0.0010416016662116966,0.001030384734312414,0.001031364020129263,0.0010406166868084056,0.001041641929918922,0.001403195627673993,0.001404532546030578,0.0013987013243957035,0.0014004737591755108,0.0013987013243957035,0.0014004737591755108,0.0018238662196070439,0.0018282244614812398,0.0018022372846796153,0.0018050679695330676,0.0018206178430699592,0.0018207705169153068
5,9.44588454016844E-4,9.443179815889951E-4,9.35496702926302E-4,9.362862733525568E-4,9.419879670981704E-4,9.426704624038142E-4,0.0010422069979955009,0.0010420102568443684,0.001030813903394072,0.001030605721132839,0.0010415461675084706,0.0010413685201361355,0.0014044976094136198,0.0014042208606598345,0.0013984184312587893,0.0014013898894182325,0.0013984184312587893,0.0014013898894182325,0.0018258237864637217,0.0018282237138988596,0.0017984007811063167,0.0018045630492891764,0.0018209359230114174,0.0018196999841622236
6,9.442883649778338E-4,9.44171781974483E-4,9.362298284534627E-4,9.357923420559787E-4,9.43029021820319E-4,9.428025680364334E-4,0.0010411103460190815,0.0010419611025191079,0.001030111281736152,0.0010302754043427548,0.0010423460010055468,0.0010420801815529646,0.0014022497781849353,0.0014030654822815851,0.001399385074292866,0.0013968888957178397,0.001399385074292866,0.0013968888957178397,0.001824281293141777,0.0018265541943806548,0.0018061749321917793,0.0018047214684632394,0.001817589372243775,0.0018226562061943656
7,9.446163823755363E-4,9.438279261099621E-4,9.355867830301472E-4,9.359569696374378E-4,9.42293573807396E-4,9.42649439809901E-4,0.001041743674557497,0.0010418103895584174,0.0010306333886899665,0.0010301277938343165,0.0010411692732170599,0.0010420894342065231,0.0014023165810352375,0.001403729198797796,0.0013991051729521338,0.0013978693697828295,0.0013991051729521338,0.0013978693697828295,0.0018273487441998791,0.001822621610086075,0.0017982054462404237,0.001806126515920018,0.0018227270358153972,0.001823086821222803
8,9.442830488890088E-4,9.446036154798917E-4,9.362650845347173E-4,9.363108597200383E-4,9.421462194308041E-4,9.427097853692224E-4,0.0010420562042285793,0.0010427279531974594,0.0010308516173066504,0.0010304908121441172,0.001042708292879399,0.001041628296832478,0.001401171330416443,0.0014050368929743812,0.001399121706683357,0.0013997802699880681,0.001399121706683357,0.0013997802699880681,0.0018268292504686793,0.001821502917769976,0.0018034904641751484,0.001800793593639987,0.00182016468889233,0.001823103635186066
9,9.43969917541402E-4,9.444763591611047E-4,9.350441060275365E-4,9.35185626116349E-4,9.421869598234025E-4,9.432937307357087E-4,0.0010427057186978776,0.001042049845369385,0.0010306787049526086,0.001030124641689625,0.0010414411885829597,0.0010427589488858952,0.0014032979053389943,0.0014024152862301834,0.0013979181746303117,0.0014015988200537207,0.0013979181746303117,0.0014015988200537207,0.0018256765454994672,0.0018275871422158913,0.0018020961696698758,0.001799477182482865,0.0018175846607644988,0.0018205472666327127
10,9.439372420982647E-4,9.438825350029369E-4,9.36423392332025E-4,9.369547040045688E-4,9.42797807787844E-4,9.432215315222269E-4,0.0010420541064586346,0.001042090727505773,0.0010304738978556178,0.0010314273275429926,0.0010392963216724427,0.0010415703806591636,0.0014038145539160098,0.001402279794711957,0.0013990834288462755,0.0013970732181646428,0.0013990834288462755,0.0013970732181646428,0.0018223443815352576,0.0018265941707753806,0.0018038249774581744,0.0018015091066868273,0.0018215224869558332,0.0018184431706375307
